Russian	﻿English
чёрный	black
голубой	blue
коричневый	brown
серый	gray
зелёный	green
оранжевый	orange
розоватый, розовый	pink
красный	red
фиолетовый, тёмно-лиловый	violet
белый	white
жёлтый	yellow
пара	couple
восемь	eight
восемнадцать	eighteen
восемьдесят	eighty
одиннадцать	eleven
пятнадцать	fifteen
пятьдесят	fifty
первый	first
пять	five
сорок	forty
четыре	four
четырнадцать	fourteen
сто	hundred
миллион	million
девять	nine
девятнадцать	nineteen
девяносто	ninety
нуль, ничто	nothing
один	one
семь	seven
семнадцать	seventeen
семьдесят	seventy
шесть	six
шестнадцать	sixteen
шестьдесят	sixty
десять	ten
третий	third
тринадцать	thirteen
тридцать	thirty
тысяча	thousand
тысяча	thousand
три	three
двадцать	twenty
два	two
рука	arm
большой чан, спина	back
клюв	beak
кровь	blood
торс	body
кость	bone
мозг	brain
дыхание	breath
ячейка, клетка	cell
грудь	chest
грудная клетка, грудь	chest
подбородок	chin
ухо	ear
глаз	eye
лицо	face
палец	finger
подошва	foot
лоб, чело	forehead
ген	gene
волосы	hair
волос, ворс	hair
рука	hand
голова	head
сердце	heart
колено	knee
нога	leg
губа	lip
уста, рот	mouth
мускул, мышца	muscle
ноготь	nail
шея, горло	neck
нерв	nerve
нос	nose
кожа	skin
желудок	stomach
хвост	tail
глотка, зев	throat
большой палец	thumb
палец на ноге	toe
язык	tongue
зуб	tooth
крыло	wing
муравей	ant
медведь	bear
пчела	bee
птица	bird
кот, кошка	cat
корова	cow
собака	dog
слон	elephant
рыба	fish
муха	fly
козёл, коза	goat
лошадь, конь	horse
насекомые	insect
лев	lion
обезьяна	monkey
свинья	pig
овца	sheep
змея	snake
время после полудня	afternoon
возраст	age
апрель	April
август	August
осень	autumn
старт	beginning
век	century
дата, число	date
день	day
декабрь	December
конец	end
вечер	evening
февраль	February
пятница	Friday
будущее	future
час	hour
январь	January
июль	July
июнь	June
май	May
полночь	midnight
минута	minute
момент, миг	moment
момент, мгновение	moment
понедельник	Monday
месяц	month
утро	morning
ночь	night
ноябрь	November
сейчас	now
октябрь	October
прошлое	past
перерыв, пауза	pause
период	period
настоящее	present
суббота	Saturday
времена года	season
секунда	second
сентябрь	September
весна	spring
лето	summer
